OrderDetail_ID;Order_ID;Product_ID;Quantity_Ordered;Unit_Price
15132;10009;3;2;81.37
15145;10018;23;4;59.39
15131;10009;30;4;45.99
15120;10005;38;4;65.25
15158;10027;57;1;245.41
15139;10015;62;3;41.38
15118;10004;63;1;96.02
15134;10010;67;5;30.93
15157;10026;70;4;50.37
15125;10006;71;5;16.23
15128;10007;74;5;16.49
15154;10023;78;1;46.37
15114;10003;79;5;10.64
15129;10008;79;5;10.64
15141;10016;79;5;10.64
15144;10017;116;3;32.71
15112;10002;119;2;11.29
15117;10003;131;5;51.07
15147;10019;132;3;16.87
15146;10018;136;1;72.64
15136;10012;163;1;25.67
15135;10011;168;5;35.79
15116;10003;175;5;22.53
15130;10008;189;1;77.89
15111;10001;191;4;43.09
15143;10017;223;1;94.67
15148;10019;227;5;25.24
15127;10006;231;3;20.79
15119;10005;238;4;35.35
15140;10015;261;3;16.41
15155;10024;265;3;164.8
15142;10017;293;5;49.67
15121;10005;300;1;22.41
15149;10019;305;1;33.73
15124;10006;319;5;200.51
15137;10013;319;1;200.51
15133;10009;324;2;33.04
15150;10019;331;3;43.03
15156;10025;331;5;43.03
15153;10022;339;2;227.15
15138;10014;369;3;19.49
15126;10006;375;5;32.68
15123;10006;382;3;11.62
15115;10003;384;2;68.55
15113;10003;385;3;55.7
15151;10020;395;1;90.19
15122;10005;396;4;16.62
15152;10021;399;1;86.12
15163;10031;3;4;81.37
15171;10038;6;1;16.82
15160;10029;8;5;19.29
15192;10053;26;4;32.23
15189;10051;57;1;245.41
15170;10037;60;1;51.73
15182;10047;60;3;51.73
15180;10046;67;4;30.93
15185;10048;116;1;32.71
15194;10055;127;1;149.65
15167;10034;141;1;43.9
15179;10045;141;4;43.9
15178;10044;143;5;10.66
15164;10032;174;3;36.74
15177;10043;194;2;51.11
15172;10039;195;1;13.88
15186;10049;203;3;25.06
15175;10042;207;1;61.69
15176;10042;208;1;86.43
15190;10052;212;1;97.17
15166;10033;214;3;184.27
15188;10050;221;1;190.42
15165;10032;222;1;55.72
15159;10028;228;1;98.15
15193;10054;236;1;35
15173;10040;244;3;113.93
15184;10047;258;3;86.25
15187;10050;303;3;86.81
15183;10047;304;1;32.05
15181;10046;309;5;70.32
15162;10030;359;5;179.7
15161;10029;363;2;16.98
15169;10036;365;3;192.26
15191;10053;366;4;34.74
15168;10035;385;1;55.7
15174;10041;390;5;5.51
15195;10055;395;4;90.19
15198;10057;8;3;19.29
15214;10064;9;5;8.89
15219;10067;30;4;45.99
15232;10078;37;3;12.72
15207;10060;44;5;12.94
15213;10063;44;2;12.94
15240;10082;45;1;37.03
15212;10062;51;1;107.8
15236;10078;59;1;188.43
15216;10065;60;2;51.73
15209;10060;80;3;34.87
15229;10075;92;5;7.44
15226;10074;96;1;33.17
15221;10069;101;1;21.25
15201;10059;104;3;13.48
15239;10081;113;1;76.9
15200;10059;119;5;11.29
15233;10078;133;2;64.22
15231;10077;143;5;10.66
15238;10080;143;5;10.66
15218;10066;150;1;218.26
15208;10060;152;1;89.52
15234;10078;164;2;50.04
15210;10061;181;3;21.47
15224;10072;184;3;33.04
15220;10068;193;5;11.45
15227;10075;201;5;9.04
15215;10065;205;1;171.28
15197;10057;215;4;18.96
15230;10076;239;1;79.31
15205;10060;249;3;57.6
15235;10078;254;3;25.68
15223;10071;263;1;50.13
15203;10059;271;1;196.85
15225;10073;278;1;92.12
15222;10070;301;3;217.26
15237;10079;305;1;33.73
15202;10059;311;4;28.11
15211;10061;327;4;114.44
15228;10075;350;2;118.67
15196;10056;351;1;15.22
15199;10058;358;4;6.07
15206;10060;358;4;6.07
15217;10065;368;4;16.17
15204;10059;390;2;5.51
15280;10109;12;4;11.5
15247;10086;28;3;69.3
15254;10091;30;4;45.99
15242;10084;54;3;93.26
15265;10096;54;2;93.26
15262;10094;102;4;98.09
15274;10103;102;1;98.09
15277;10106;114;4;9.35
15252;10090;115;1;16.23
15257;10092;118;2;36.16
15249;10087;122;1;238.19
15282;10110;133;4;64.22
15269;10099;147;2;63.46
15283;10110;153;4;25.36
15278;10107;166;1;20.3
15253;10091;182;2;43.7
15243;10084;184;2;33.04
15251;10089;186;3;19.7
15245;10084;203;2;25.06
15272;10102;238;1;35.35
15276;10105;243;2;22.38
15273;10103;256;1;60.09
15259;10093;261;5;16.41
15270;10100;271;1;196.85
15258;10092;276;1;93.18
15279;10108;292;4;78.84
15255;10091;293;2;49.67
15250;10088;306;1;77.18
15264;10095;311;1;28.11
15248;10086;312;2;91.25
15244;10084;315;5;11.86
15268;10099;315;4;11.86
15241;10083;329;1;195.87
15266;10097;333;1;56.32
15271;10101;337;1;46.92
15275;10104;340;1;210.84
15260;10093;358;5;6.07
15261;10093;358;5;6.07
